date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200731,AZ,174010,759733,,2302,11260,719,,505,,22714,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,3694,11260,2020-07-31T00:00:00Z,933743,,,137710,2431,152,04,3212,17265,933743,933743,20477,933743,68,88,3c8eb20a6bf16e51f4675a96bdfefb37954a78e3,0,0,0,0,0,
20200731,CA,493588,7317453,,7999,,2163,,,,,B,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,9005,,2020-07-31T00:00:00Z,7811041,,,493588,,,06,8086,169115,7811041,7811041,177201,7811041,96,0,01334802bc96449522bb9a789767abc759b9c877,0,0,0,0,0,
20200731,CO,46204,480142,,350,6413,,,,,5309,A,7/31/2020 01:59,2020-07-31T01:59:00Z,07/30 21:59,1691,6413,2020-07-31T01:59:00Z,,,,43032,,,08,408,6266,526346,526346,6674,526346,3,15,42a49fb0dd7bdde37420e8b6a99fc07881d438bc,0,0,0,0,0,
20200731,CT,49810,744186,,69,10807,,,,,8613,B,7/30/2020 20:30,2020-07-30T20:30:00Z,07/30 16:30,4432,10807,2020-07-30T20:30:00Z,792040,,,47854,3551,881,09,140,15128,793996,793996,15268,793996,1,0,8629fc94656ef8300960d62bdc419dec97b3ba47,0,0,0,0,0,
20200731,FL,470386,3157702,3363,8209,26905,,,,,,A,7/30/2020 23:59,2020-07-30T23:59:00Z,07/30 19:59,6966,26905,2020-07-30T23:59:00Z,4712187,592572,4099817,470386,6966,,12,9007,39964,3631451,3628088,48971,3628088,257,519,917789dd8e922579b8236f5430eb606b688d4c3d,0,0,0,0,0,
20200731,IA,44582,429830,,225,,71,,29,,32578,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,867,,2020-07-31T00:00:00Z,,,,44582,,,19,544,4770,474412,474412,5314,474412,10,0,f52e0018acf65e565dea01b5453fe0c23dc54773,0,0,0,0,0,
20200731,NE,25766,245190,,150,1610,,,,,18997,A,7/29/2020 21:00,2020-07-29T21:00:00Z,07/29 17:00,328,1610,2020-07-29T21:00:00Z,,,,25766,,,31,344,3719,270956,270956,4063,270956,4,0,169fc1200e2334822b0dbeab53a82db3773bcec2,0,0,0,0,0,
20200731,NY,415014,5474223,,576,89995,140,,70,,73055,A,7/30/2020 23:59,2020-07-30T23:59:00Z,07/30 19:59,25150,89995,2020-07-30T23:59:00Z,,,,415014,,,36,644,68225,5889237,5889237,68869,5889237,5,0,89f5c71095bcb06a4bf60874085ad795851241a5,0,0,0,0,0,
20200731,PA,112048,1104824,,522,,,,89,,84036,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,7189,,2020-07-31T00:00:00Z,,,,108907,,,42,970,15965,1216872,1216872,16935,1216872,13,0,16b45ac5d5904738bc47e02c5933d96fb02370ed,0,0,0,0,0,
20200731,TX,420946,3248806,,9336,,3117,,,,273191,A,7/31/2020 17:10,2020-07-31T17:10:00Z,07/31 13:10,6569,,2020-07-31T17:10:00Z,3669752,,,420946,,,48,8839,51439,3669752,3669752,60278,3669752,295,0,6ce41ddcf45924c0010186032e7e7ad175d5b8cd,0,0,0,0,0,
